ID,Name,Brand,Category,Barcode,Ingredients,NutriGuard Score,NutriGuard Grade,FVL_known,NNS,Algorithm,Score_low,Score_high,NS_robust,Grade_Range,NutriScore_Status
76,Parle Hide & Seek,Parle,Biscuits,8901719100140.0,"Refined Wheat Flour, Sugar, Edible Vegetable Oil, Chocolate Chips, Cocoa Solids, Invert Syrup, Leavening Agents, Emulsifiers",30,C-,,False,general,20,25,E,E,Robust grade (invariant to unresolved FVL)
77,Pepsi,Pepsi,Drinks,8902080104055.0,"Carbonated Water, Sugar, Colour (150d), Acidity Regulator (338), Caffeine, Natural Flavour, Stabilizer (436)",33,C-,,False,beverage,6,12,,E/D/C,
78,Pluckk Tender Coconut Water,Pluckk,Drinks,8908024066243.0,Tender Coconut Water,96,A+,,False,beverage,-3,3,,C/B,
79,Pran Potata Spicy Biscuit,Pran,Biscuits,8436030999999.0,"Wheat Flour, Sugar, Palm Oil, Potato Flakes, Spices, Salt, Leavening Agents, Flavour Enhancers",33,C-,,False,general,23,28,E,E,Robust grade (invariant to unresolved FVL)
80,Raw Pressery Coconut Water,Raw Pressery,Drinks,8904258701707.0,"Coconut Water, INS 234",83,A,,False,beverage,6,12,,E/D/C,
81,Real Coconut Water,Real,Drinks,8901207053634.0,"Water, Concentrated Coconut Water, INS 202, INS 224",60,B,,False,beverage,-1,5,,C/B,
82,Slice Mango Drink,PepsiCo,Drinks,8902080000722.0,"Water, Sugar, Concentrated Mango Pulp, Alphonso Mango Pulp (14%), Acidity Regulator (330), Stabilizers (466,440), Preservative (202), Food Colour (110), Natural & Nature Identical Flavour",26,D+,14.0,False,beverage,16,16,E,E,Robust grade (invariant to unresolved FVL)
83,Sunfeast Dark Fantasy Choco Fills,Sunfeast,Cream Biscuits,8909081000249.0,"Refined Wheat Flour, Sugar, Refined Palm Oil, Hydrogenated Vegetable Oil, Cocoa Solids, Invert Syrup, Raising Agents (503ii,500ii), Emulsifier (322), Humectant (1520), Artificial Vanilla Flavour",19,D,,False,general,19,24,E,E,Robust grade (invariant to unresolved FVL)
84,Taali Masala Cashews,Taali,Dry Fruits & Nuts,8908010213705.0,"Cashew Nuts, Sunflower Oil, Spices & Condiments, Black Salt, Maltodextrin, Citric Acid, Natural Flavour, INS 150d, INS 415",38,C-,,False,fats/oils/nuts/seeds,13,13,D,D,Robust grade (invariant to unresolved FVL)
85,Tata Sampann Premium Almonds,Tata,Chips & Snacks,100000000102.0,Raw Almonds,91,A+,,False,general,1,6,,C/B,
86,Tata Soulfull Choco Muesli,Tata Soulfull,Muesli & Cereals,8901052012497.0,"Rolled Oats, Soy Protein Isolate, Millets, Dark Chocolate, Honey, Rice Flakes, Nuts, Seeds, Antioxidant (307b)",41,C,,False,general,6,11,,D/C,
87,Tata Soulfull Millet Muesli,Tata Soulfull,Muesli & Cereals,8908002198496.0,"Millets, Ragi, Rice, Jowar, Rolled Oats, Wheat Flakes, Corn Flakes, Seeds, Honey, Antioxidant (307b)",44,C,,False,general,-3,2,,B/A,
88,Thums Up,Coca-Cola,Drinks,8902080104055.0,"Carbonated Water, Sugar, Acidity Regulator (338), Caffeine, Colour (150d), Natural, Nature Identical & Artificial Flavours",36,C-,,False,beverage,6,12,,E/D/C,
89,Too Yumm NutriChips,Too Yumm,Chips & Snacks,8906090571258.0,"Corn Flour, Whole Wheat Flour, Rice Bran Oil, Rice Flour, Seasoning, Milk Solids, Flavour Enhancers (627,631), Stabilizer (415), Colour (150d)",36,C-,,False,general,16,21,,E/D,
90,Too Yumm Veggix,Too Yumm,Chips & Snacks,8906090570848.0,"Corn Flour, Rice Flour, Rice Bran Oil, Seasoning, Milk Solids, Spinach Powder, Tomato Powder, Flavour Enhancers (627,631), Stabilizer (415)",40,C,,False,general,15,20,,E/D,
91,True Elements Raw Pumpkin Seeds,True Elements,Seeds,8906112662551.0,Raw Pumpkin Seeds,86,A,,False,fats/oils/nuts/seeds,-7,-7,A,A,Robust grade (invariant to unresolved FVL)
92,True Elements Raw Sunflower Seeds,True Elements,Seeds,8906112662599.0,Raw Sunflower Seeds,89,A,,False,fats/oils/nuts/seeds,-10,-10,A,A,Robust grade (invariant to unresolved FVL)
93,Yoga Bar Blueberry Protein Bar,Yoga Bar,Protein Bars,8904335602385.0,"Date Paste, Raisins, Soy Protein Crisps, Almond, Cashew, Peanut Protein, Blueberry, Whey Protein",39,C-,,False,general,-3,2,,B/A,
94,Yoga Bar Choco Chunk Protein Bar,Yoga Bar,Protein Bars,8908005144014.0,"Whole Grains, Rolled Oats, Rice Flakes, Chocolate, Peanut Butter, Cocoa Powder, Honey, Dates, Gum Acacia",42,C,,False,general,-2,3,,C/B/A,
95,Yoga Bar Dark Chocolate Protein Bar,Yoga Bar,Protein Bars,8904335602064.0,"Whole Grains, Rolled Oats, Millets, Jowar Flakes, Rice Flakes, Dark Chocolate Paste, Edible Vegetable Fat, Cocoa Solids, Soy Lecithin, Honey, Seeds, Dry Fruits, Dates, Cocoa Nibs, Natural Flavours",45,C,,False,general,-1,4,,C/B/A,
96,Yoga Bar Fruit & Nut Protein Bar,Yoga Bar,Protein Bars,8904335602392.0,"Date Paste, Dark Chocolate Paste, Soy Protein Crisps, Date Syrup, Cocoa Solids, Soy Lecithin, Cashew Paste, Peanut Butter, Textured Soy Protein, Almond Paste, Peanut Protein, Cranberry, Whey Protein Concentrate, Skim Milk Powder, Chocolate Chips",36,C-,,False,general,-1,4,,C/B/A,
97,Yoga Bar Millet Muesli,Yoga Bar,Muesli & Cereals,8904335600657.0,"Multigrains, Rolled Oats, Rice Flakes, Jowar Flakes, Seeds, Pumpkin, Flax, Almond, Rice Bran Oil, Steviol Glycosides, Probiotics (Bacillus coagulans)",41,C,,True,general,-7,-2,A,A,Robust grade (invariant to unresolved FVL)
98,Yoga Bar Muesli,Yoga Bar,Muesli & Cereals,8904335602910.0,"Whole Grains, Millets, Ragi Flakes, Jowar Flakes, Rolled Oats, Rice Flakes, Corn Flakes, Nuts, Seeds, Raisins, Cranberry, Honey, Rice Bran Oil",41,C,,False,general,-4,1,,B/A,
99,Yoga Bar Nuts & Fruits Muesli,Yoga Bar,Muesli & Cereals,8904335600336.0,"Whole Grains, Rolled Oats, Brown Rice Flakes, Quinoa Flakes, Dried Fruits, Apricots, Cranberry, Blackcurrants, Nuts, Pumpkin, Almonds, Chia, Flax, Strawberry Powder, Date Syrup, Rice Bran Oil",42,C,,False,general,-5,0,A,A,Robust grade (invariant to unresolved FVL)
100,Yoga Bar Pumpkin Seeds,Yoga Bar,Seeds,8904335601357.0,Pumpkin Seeds,91,A+,,False,fats/oils/nuts/seeds,-8,-8,A,A,Robust grade (invariant to unresolved FVL)
