product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
13,"Aquafina Water","Drinks",teen,1,97,100,100,100,99,A+,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
13,"Aquafina Water","Drinks",adult,1,97,100,100,100,99,A+,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
13,"Aquafina Water","Drinks",elderly,1,97,100,100,100,99,A+,0,sodium,false,"allergen_undeclared|amplified_exposure_category"
14,"Boost","Health Drinks",child,4,24,41,100,37,25,D+,0,totalSugar,false,"amplified_exposure_category"
14,"Boost","Health Drinks",teen,4,43,41,100,37,32,C-,0,totalSugar,false,"amplified_exposure_category"
14,"Boost","Health Drinks",adult,4,33,41,100,37,29,D+,0,totalSugar,false,"amplified_exposure_category"
14,"Boost","Health Drinks",elderly,4,33,41,100,37,29,D+,0,totalSugar,false,"amplified_exposure_category"
15,"Bourbon","Cream Biscuits",child,4,7,15,90,92,15,D,10,addedSugar,false,""
15,"Bourbon","Cream Biscuits",teen,4,20,15,90,92,29,D+,0,addedSugar,false,""
15,"Bourbon","Cream Biscuits",adult,4,12,15,90,92,26,D+,0,addedSugar,false,""
15,"Bourbon","Cream Biscuits",elderly,4,13,15,90,92,26,D+,0,addedSugar,false,""
16,"Britannia Good Day Butter","Biscuits",child,4,19,20,90,46,22,D+,0,addedSugar,false,""
16,"Britannia Good Day Butter","Biscuits",teen,4,37,20,90,46,29,D+,0,addedSugar,false,""
16,"Britannia Good Day Butter","Biscuits",adult,4,27,20,90,46,25,D+,0,addedSugar,false,""
16,"Britannia Good Day Butter","Biscuits",elderly,4,28,20,90,46,25,D+,0,addedSugar,false,""
17,"Britannia Good Day Cashew","Biscuits",child,4,18,20,90,42,21,D+,0,addedSugar,false,""
17,"Britannia Good Day Cashew","Biscuits",teen,4,36,20,90,42,28,D+,0,addedSugar,false,""
17,"Britannia Good Day Cashew","Biscuits",adult,4,26,20,90,42,24,D+,0,addedSugar,false,""
17,"Britannia Good Day Cashew","Biscuits",elderly,4,27,20,90,42,25,D+,0,addedSugar,false,""
18,"Britannia Good Day Choco Chip","Biscuits",child,4,10,20,90,25,6,E,10,addedSugar,false,""
18,"Britannia Good Day Choco Chip","Biscuits",teen,4,23,20,90,25,20,D+,0,addedSugar,false,""
18,"Britannia Good Day Choco Chip","Biscuits",adult,4,15,20,90,25,18,D,0,addedSugar,false,""
18,"Britannia Good Day Choco Chip","Biscuits",elderly,4,16,20,90,25,18,D,0,addedSugar,false,""
19,"Britannia Good Day Pista Badam","Biscuits",child,4,18,19,90,10,16,D,0,addedSugar,false,""
19,"Britannia Good Day Pista Badam","Biscuits",teen,4,36,19,90,10,23,D+,0,addedSugar,false,""
19,"Britannia Good Day Pista Badam","Biscuits",adult,4,26,19,90,10,19,D,0,addedSugar,false,""
19,"Britannia Good Day Pista Badam","Biscuits",elderly,4,27,19,90,10,20,D+,0,addedSugar,false,""
20,"Britannia Marie Gold","Biscuits",child,4,18,28,90,18,19,D,0,addedSugar,false,""
20,"Britannia Marie Gold","Biscuits",teen,4,35,28,90,18,25,D+,0,addedSugar,false,""
20,"Britannia Marie Gold","Biscuits",adult,4,25,28,90,18,21,D+,0,addedSugar,false,""
20,"Britannia Marie Gold","Biscuits",elderly,4,26,28,90,18,21,D+,0,addedSugar,false,""
21,"Britannia NutriChoice 5 Grain","Biscuits",child,4,24,35,100,42,26,D+,0,addedSugar,false,""
21,"Britannia NutriChoice 5 Grain","Biscuits",teen,4,43,35,100,42,32,C-,0,addedSugar,false,""
